Timestamp,Email,Gender,Marital Status,Department,GPA of last semester,CGPA,Class attendance,Self-study per week,Homework on time,Study materials access,Study environment,Library Usage,Interaction with teachers,Peers support,Stress,Current living situation,Financial aid,Employment,Own expenses,Contribution on family,Financial difficulties,Relationship with parents,Parents support,Internet access,Online resource usage,Technology comfort,Motivation,Extracurricular activities,Sleeping hours,Caffeine consumtion,Social media usage,Health condition,Engagement in hobbies,Primary academic goal,Career goal,Challenges in studies,External factors
22/11/2024 08:04:31,,Male,Unmarried,ECE,3.76- higher (Best),3.76- higher (Best),Regularly (More than 75%),More than 15 hours,Most of the time,"Yes, but with difficulty","Not conducive (noisy, lack of space etc.)",Never,Frequently,Somewhat supportive,Always,Living with roommates,"Yes, full scholarship/financial aid","Yes, but occasionally (temporary jobs)","Yes, fully",No,Occasionally,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Highly motivated,Often,5–6 hours,Regularly (3–5 times a week),2–4 hours,No,Never,"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear","Unskilled faculty, lack of dedication of the faculty",yes...family expectations put a lot of pressure
22/11/2024 08:10:55,,Male,Unmarried,CSE,3.26-3.5 (Good),3.26-3.5 (Good),Regularly (More than 75%),10–15 hours,Most of the time,"Yes, but with difficulty",Partially conducive (sometimes noisy),Occasionally (once a month),Never,Somewhat supportive,Often,Living with roommates,No,"Yes, full-time","Yes, partially",No,Occasionally,Good (regular communication),Only mental support,"Yes, but it is unreliable",Frequently,Somewhat comfortable,Mostly motivated,Rarely,7–8 hours,Occasionally (1–2 times a week),2–4 hours,No,Regularly (once a week),"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",Financial Crisis and Sleeping problem ,Yes
22/11/2024 08:13:06,,Female,Unmarried,EEE,3.76- higher (Best),3.76- higher (Best),Regularly (More than 75%),10–15 hours,Always,"Yes, but with difficulty",Partially conducive (sometimes noisy),Never,Rarely,Somewhat supportive,Often,Living with roommates,"Yes, full scholarship/financial aid","No, I am not working","No, my family supports me",No,Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Somewhat comfortable,Highly motivated,Sometimes,Less than 5 hours,Regularly (3–5 times a week),2–4 hours,"Yes, both physical and mental health conditions",Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, I have a specific goal",Learning new things is much time consuming for me,No
22/11/2024 08:14:58,,Male,Unmarried,EEE,3.26-3.5 (Good),3-3.25 (Average),Regularly (More than 75%),More than 15 hours,Always,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Never,Somewhat supportive,Sometimes,Living alone,No,"No, I am not working","No, my family supports me",No,Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, but it is unreliable",Frequently,Very comfortable,Highly motivated,Sometimes,5–6 hours,Never,Less than 1 hour,No,Never,Improving my GPA,"Yes, but it's unclear",Consistency,No
22/11/2024 08:14:59,,Male,Unmarried,CSE,3.51-3.75 (Better),3-3.25 (Average),Regularly (More than 75%),Less than 5 hours,Sometimes,"Yes, but with difficulty",Partially conducive (sometimes noisy),Never,Rarely,Very supportive,Often,Living with roommates,"Yes, partial scholarship/financial aid","Yes, part-time","No, my family supports me",No,Never,Good (regular communication),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Not motivated,Rarely,More than 8 hours,Occasionally (1–2 times a week),More than 4 hours,"Yes, a physical condition",Occasionally (once a month),Passing the course,No,Don't understand anything.,
22/11/2024 08:17:58,,Male,Married,CSE,3.26-3.5 (Good),3.26-3.5 (Good),Regularly (More than 75%),10–15 hours,Most of the time,"Yes, but with difficulty",Partially conducive (sometimes noisy),Regularly (weekly),Rarely,Somewhat supportive,Always,Living with roommates,No,"No, I am not working","No, my family supports me",No,Rarely,Good (regular communication),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Mostly motivated,Sometimes,7–8 hours,Regularly (3–5 times a week),1–2 hours,No,Occasionally (once a month),Improving my GPA,"Yes, but it's unclear",Can't easily understand any topic within a short time.,
22/11/2024 08:18:40,,Female,Unmarried,ECE,3.76- higher (Best),3.76- higher (Best),Regularly (More than 75%),More than 15 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Never,Occasionally,Very supportive,Often,Living in university accommodation (dorms),"Yes, partial scholarship/financial aid","No, I am not working","No, my family supports me",No,Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Sometimes,Somewhat comfortable,Mostly motivated,Rarely,5–6 hours,Daily,2–4 hours,No,Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",,No
22/11/2024 08:19:08,,Male,Unmarried,CSE,3.51-3.75 (Better),3.26-3.5 (Good),Regularly (More than 75%),10–15 hours,Always,"Yes, always",Partially conducive (sometimes noisy),Never,Rarely,Very supportive,Often,Living alone,"Yes, partial scholarship/financial aid","Yes, part-time","Yes, fully",No,Never,"Fair (some communication, but distant)",Only mental support,"Yes, reliable access",Frequently,Somewhat comfortable,Sometimes motivated,Rarely,5–6 hours,Daily,2–4 hours,"Yes, a mental health condition",Never,"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear","Mental Disturbance, various kind of distractions","Family support helps to stay happy and motivated. Being healty also helps to concentrate on study more. I am financially fully independent, but I think, at this time, to become independent financially, it indirectly affects on performance badly specially more focusing on financial sources rather than focusing on study. "
22/11/2024 08:21:43,,Male,Unmarried,CSE,3.26-3.5 (Good),3.26-3.5 (Good),Occasionally (50–75%),Less than 5 hours,Most of the time,"Yes, always","Fully conducive (quiet, with necessary resources)",Never,Never,Not supportive,Sometimes,Living with parents/guardians,No,"Yes, part-time","Yes, partially","Yes, occasionally",Never,Good (regular communication),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Sometimes motivated,Sometimes,7–8 hours,Never,More than 4 hours,No,Occasionally (once a month),Improving my GPA,"Yes, I have a specific goal",Discipline ,No 
22/11/2024 08:21:46,,Female,Unmarried,Fisheries ,3.76- higher (Best),3.76- higher (Best),Regularly (More than 75%),Less than 5 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Occasionally,Very supportive,Sometimes,Living in university accommodation (dorms),No,"No, I am not working","No, my family supports me",No,Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Sometimes,Somewhat comfortable,Mostly motivated,Often,5–6 hours,Regularly (3–5 times a week),More than 4 hours,No,Never,"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",,
22/11/2024 08:22:01,,Female,Unmarried,CSE,3.51-3.75 (Better),3.26-3.5 (Good),Regularly (More than 75%),Less than 5 hours,Most of the time,"Yes, always","Fully conducive (quiet, with necessary resources)",Occasionally (once a month),Rarely,Very supportive,Sometimes,Living with roommates,"Yes, partial scholarship/financial aid","No, I am not working","No, my family supports me",No,Occasionally,Good (regular communication),Only financial support,"Yes, reliable access",Frequently,Somewhat comfortable,Not motivated,Never,5–6 hours,Regularly (3–5 times a week),2–4 hours,"Yes, a mental health condition",Never,Improving my GPA,"Yes, but it's unclear",,
22/11/2024 08:29:45,,Female,Unmarried,ETE,3.26-3.5 (Good),3.26-3.5 (Good),Regularly (More than 75%),5–10 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Never,Frequently,Very supportive,Sometimes,Living in university accommodation (dorms),"Yes, partial scholarship/financial aid","No, I am not working","No, my family supports me",No,Rarely,Excellent (close and supportive relationship),Both financial and mental support,"Yes, but it is unreliable",Frequently,Very comfortable,Mostly motivated,Rarely,7–8 hours,Regularly (3–5 times a week),More than 4 hours,No,Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",Long distance from family ,
22/11/2024 08:30:05,,Male,Unmarried,CSE,3.26-3.5 (Good),3.51-3.75 (Better),Occasionally (50–75%),Less than 5 hours,Most of the time,"Yes, always","Not conducive (noisy, lack of space etc.)",Never,Rarely,Very supportive,Often,Living with roommates,No,"Yes, but occasionally (temporary jobs)","Yes, partially",No,Never,Good (regular communication),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Sometimes motivated,Often,Less than 5 hours,Daily,2–4 hours,"Yes, a mental health condition",Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",I am a visual learner. But most of the resources are in text form. Sometimes I can't get the topic quickly.,"Sometimes yes. As I don't live with my parents, many times the academic pressure is too much to handle on my own. That's the reason my CGPA dropped a bit in the previous semester."
22/11/2024 08:33:35,,Female,Unmarried,ECE,3.76- higher (Best),3.51-3.75 (Better),Regularly (More than 75%),Less than 5 hours,Never,"Yes, always",,Never,Rarely,,Never,Living with roommates,,"No, I am not working","No, my family supports me",No,,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Not motivated,Rarely,More than 8 hours,Regularly (3–5 times a week),More than 4 hours,,Regularly (once a week),Passing the course,"Yes, I have a specific goal",,
22/11/2024 08:43:17,,Female,Unmarried,CSE,3.26-3.5 (Good),3-3.25 (Average),Regularly (More than 75%),Less than 5 hours,Sometimes,"Yes, always","Fully conducive (quiet, with necessary resources)",Never,Never,Somewhat supportive,Always,Living alone,No,"Yes, but occasionally (temporary jobs)","Yes, fully",No,Never,Good (regular communication),Only mental support,"Yes, reliable access",Frequently,Very comfortable,Sometimes motivated,Never,More than 8 hours,Never,More than 4 hours,"Yes, a mental health condition",Frequently (more than once a week),Passing the course,No,Concentrating and actually finishing things i started,
22/11/2024 08:45:51,,Female,Married,Cse,3.51-3.75 (Better),3.51-3.75 (Better),Regularly (More than 75%),10–15 hours,Always,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Occasionally,Somewhat supportive,Never,Living with parents/guardians,No,"Yes, part-time","Yes, partially","Yes, occasionally",Occasionally,"Fair (some communication, but distant)",Only financial support,"Yes, but it is unreliable",Sometimes,Very comfortable,Mostly motivated,Rarely,7–8 hours,Occasionally (1–2 times a week),1–2 hours,"Yes, a physical condition",Occasionally (once a month),Improving my GPA,"Yes, but it's unclear",Nooo,No
22/11/2024 08:48:49,,Female,Unmarried,CSE,3.51-3.75 (Better),3.26-3.5 (Good),Regularly (More than 75%),More than 15 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Occasionally,Somewhat supportive,Sometimes,Living with roommates,No,"Yes, part-time","Yes, partially","Yes, occasionally",Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Mostly motivated,Never,5–6 hours,Regularly (3–5 times a week),2–4 hours,"Yes, both physical and mental health conditions",Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, I have a specific goal","Sometimes I struggle to understand what the teacher explains in class, and when there are no comprehensive tutorials or resources available online, I feel nervous about how to complete the work.",Not much.
22/11/2024 08:50:08,,,Unmarried,Computer Science and Engineering ,3.51-3.75 (Better),3-3.25 (Average),Regularly (More than 75%),Less than 5 hours,Sometimes,"Yes, but with difficulty",Partially conducive (sometimes noisy),Never,Rarely,Very supportive,Sometimes,Living in university accommodation (dorms),No,"Yes, but occasionally (temporary jobs)","No, my family supports me",No,Never,Excellent (close and supportive relationship),Both financial and mental support,No,Frequently,Very comfortable,Not motivated,Sometimes,More than 8 hours,Occasionally (1–2 times a week),More than 4 hours,No,Regularly (once a week),Passing the course,No,,
22/11/2024 08:57:09,,Female,Unmarried,HR,3.51-3.75 (Better),3.26-3.5 (Good),Regularly (More than 75%),Less than 5 hours,Sometimes,"Yes, always","Fully conducive (quiet, with necessary resources)",Occasionally (once a month),Occasionally,Somewhat supportive,Sometimes,Living alone,No,"Yes, part-time","Yes, partially","Yes, occasionally",Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Sometimes,Very comfortable,Mostly motivated,Sometimes,7–8 hours,Daily,2–4 hours,No,Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, I have a specific goal",None,"Yes, external factors like family, health, and finances significantly affect academic performance. Family support can provide stability, health issues may hinder focus and energy, and financial stress can create distractions or limit access to resources. Managing these effectively is crucial for academic success."
22/11/2024 08:59:58,,Female,Unmarried,Electrical and Computer Engineering ,3.51-3.75 (Better),3.26-3.5 (Good),Regularly (More than 75%),10–15 hours,Always,"Yes, always","Fully conducive (quiet, with necessary resources)",Never,Rarely,Somewhat supportive,Always,Living alone,"Yes, full scholarship/financial aid","Yes, but occasionally (temporary jobs)","No, my family supports me",No,Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Sometimes motivated,Often,5–6 hours,Occasionally (1–2 times a week),2–4 hours,"Yes, both physical and mental health conditions",Occasionally (once a month),Improving my GPA,"Yes, but it's unclear", Consistency and patience,"Health definitely affects.Due to immense pressure, I had to go through panic attacks several times, breathing issues which evatually made me sick physically.I sometimes cannot give my best due to my health issues."
22/11/2024 09:08:07,,Female,Unmarried,Statistics ,3.76- higher (Best),3.76- higher (Best),Regularly (More than 75%),Less than 5 hours,Always,No,Partially conducive (sometimes noisy),Occasionally (once a month),Occasionally,Very supportive,Always,Living alone,No,"No, I am not working","Yes, fully","Yes, regularly",Frequently,"Poor (strained, lack of communication)",Both financial and mental support,No,Frequently,Very comfortable,Highly motivated,Often,7–8 hours,Daily,More than 4 hours,"Yes, both physical and mental health conditions",Frequently (more than once a week),"Pursuing further education (e.g. master's, Ph.D.)","Yes, I have a specific goal",Sometimes i cannot understand the topic which gaves us our teachers it is very painful ,Family and Finances 
22/11/2024 09:21:24,,Female,Unmarried,Physics ,3.51-3.75 (Better),3.51-3.75 (Better),Regularly (More than 75%),Less than 5 hours,Always,"Yes, always",Partially conducive (sometimes noisy),Regularly (weekly),Rarely,Somewhat supportive,Sometimes,Living with parents/guardians,No,"No, I am not working","No, my family supports me",No,Never,Good (regular communication),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Highly motivated,Rarely,7–8 hours,Occasionally (1–2 times a week),More than 4 hours,No,Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",To get e job soon after graduation ,No
22/11/2024 09:27:58,,Female,Unmarried,ECE,3.76- higher (Best),3.51-3.75 (Better),Regularly (More than 75%),5–10 hours,Always,"Yes, but with difficulty","Not conducive (noisy, lack of space etc.)",Occasionally (once a month),Occasionally,Somewhat supportive,Often,Living with parents/guardians,"Yes, partial scholarship/financial aid","No, I am not working","No, my family supports me",No,Occasionally,"Fair (some communication, but distant)",Both financial and mental support,"Yes, but it is unreliable",Frequently,Somewhat comfortable,Mostly motivated,Sometimes,5–6 hours,Daily,2–4 hours,"Yes, a mental health condition",Occasionally (once a month),Achieving the highest grade,"Yes, but it's unclear",resources are not available ,health sometimes
22/11/2024 09:38:01,,Male,Unmarried,CSE,3.76- higher (Best),3.26-3.5 (Good),Regularly (More than 75%),5–10 hours,Sometimes,"Yes, always",Partially conducive (sometimes noisy),Never,Rarely,Very supportive,Sometimes,Living with roommates,No,"No, I am not working","No, my family supports me",No,Never,"Fair (some communication, but distant)",Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Sometimes motivated,Never,More than 8 hours,Never,More than 4 hours,No,Never,"Pursuing further education (e.g. master's, Ph.D.)",No,None,None
22/11/2024 10:09:29,,Male,Unmarried,CSE,3.51-3.75 (Better),3.51-3.75 (Better),Regularly (More than 75%),5–10 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Never,Very supportive,Often,Living with roommates,No,"No, I am not working","No, my family supports me",No,Never,Good (regular communication),Only financial support,"Yes, reliable access",Frequently,Somewhat comfortable,Sometimes motivated,Sometimes,5–6 hours,Never,More than 4 hours,"Yes, a mental health condition",Occasionally (once a month),Passing the course,"Yes, but it's unclear",getting to know what I am studying this for,no
22/11/2024 10:17:22,,Female,Married,Agricultural economics,3.26-3.5 (Good),3-3.25 (Average),Regularly (More than 75%),Less than 5 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Frequently,Somewhat supportive,Often,Living with roommates,No,"No, I am not working","No, my family supports me",No,Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, but it is unreliable",Sometimes,Somewhat comfortable,Not motivated,Never,5–6 hours,Occasionally (1–2 times a week),More than 4 hours,No,Frequently (more than once a week),Improving my GPA,"Yes, but it's unclear",Not an interesting subject ,Yes
22/11/2024 10:59:58,,Male,Unmarried,cse,3.51-3.75 (Better),3.51-3.75 (Better),Regularly (More than 75%),10–15 hours,Sometimes,"Yes, but with difficulty",Partially conducive (sometimes noisy),Occasionally (once a month),Rarely,Very supportive,Always,Living with roommates,No,"Yes, but occasionally (temporary jobs)","No, my family supports me",No,Never,Good (regular communication),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Sometimes motivated,Often,5–6 hours,Occasionally (1–2 times a week),More than 4 hours,No,Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",,
22/11/2024 11:15:54,,Male,Unmarried,CSE,3.51-3.75 (Better),3.51-3.75 (Better),Regularly (More than 75%),5–10 hours,Always,"Yes, always",Partially conducive (sometimes noisy),Never,Rarely,Very supportive,Sometimes,Living with roommates,No,"No, I am not working","No, my family supports me",No,Rarely,Good (regular communication),Only financial support,"Yes, reliable access",Frequently,Somewhat comfortable,Mostly motivated,Sometimes,5–6 hours,Occasionally (1–2 times a week),2–4 hours,No,Occasionally (once a month),Improving my GPA,"Yes, but it's unclear",Lack of understanding of teachers' lectures,No
22/11/2024 11:44:13,,Female,Married,Doctor of Veterinary Medicine (DVM),3.26-3.5 (Good),3.26-3.5 (Good),Regularly (More than 75%),Less than 5 hours,Most of the time,"Yes, always",Partially conducive (sometimes noisy),Never,Rarely,Somewhat supportive,Sometimes,Living with parents/guardians,No,"No, I am not working","No, my family supports me","Yes, occasionally",Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Sometimes,Somewhat comfortable,Sometimes motivated,Never,7–8 hours,Occasionally (1–2 times a week),More than 4 hours,No,Never,Improving my GPA,"Yes, but it's unclear",To maintain regularity ,No
22/11/2024 12:03:02,,Female,Unmarried,Bsc in Nursing ,3.51-3.75 (Better),3.26-3.5 (Good),Regularly (More than 75%),10–15 hours,Always,"Yes, always",Partially conducive (sometimes noisy),Regularly (weekly),Frequently,Somewhat supportive,Often,Living with roommates,"Yes, partial scholarship/financial aid","No, I am not working","No, my family supports me",No,Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Mostly motivated,Often,5–6 hours,Regularly (3–5 times a week),2–4 hours,No,Regularly (once a week),"Pursuing further education (e.g. master's, Ph.D.)","Yes, I have a specific goal",,
22/11/2024 12:46:36,,Male,Unmarried,cse,3-3.25 (Average),3-3.25 (Average),Occasionally (50–75%),5–10 hours,Sometimes,"Yes, always","Fully conducive (quiet, with necessary resources)",Never,Occasionally,Somewhat supportive,Sometimes,Living with roommates,No,"Yes, but occasionally (temporary jobs)","Yes, fully",No,Frequently,"Fair (some communication, but distant)",Only mental support,"Yes, reliable access",Frequently,Very comfortable,Sometimes motivated,Sometimes,More than 8 hours,Never,Less than 1 hour,No,Occasionally (once a month),Improving my GPA,"Yes, but it's unclear",some unnecessary courses for me,"financially unstable, trying to overcome this."
22/11/2024 13:42:25,,Male,Unmarried,Mechanical Engineering,3.26-3.5 (Good),3.26-3.5 (Good),Regularly (More than 75%),5–10 hours,Never,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Rarely,Very supportive,Always,Living with roommates,No,"No, I am not working","No, my family supports me",No,Occasionally,Excellent (close and supportive relationship),Both financial and mental support,"Yes, but it is unreliable",Frequently,Very comfortable,Sometimes motivated,Sometimes,5–6 hours,Occasionally (1–2 times a week),More than 4 hours,"Yes, a mental health condition",Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",Destruction and relationship issue. Food is a issue too,"yes. Family motivates me, the support me. Sometimes health and financial issue impact negatively. Healthy and hygienic food isn't availabe here."
22/11/2024 13:50:09,,Male,Unmarried,Computer Science and Engineering ,3-3.25 (Average),Below 3 (Below Average),Regularly (More than 75%),10–15 hours,Always,"Yes, always",Partially conducive (sometimes noisy),Never,Never,Somewhat supportive,Always,Living with roommates,No,"Yes, part-time","Yes, fully","Yes, occasionally",Frequently,Excellent (close and supportive relationship),Only mental support,"Yes, reliable access",Frequently,Very comfortable,Highly motivated,Sometimes,5–6 hours,Daily,2–4 hours,No,Never,"Pursuing further education (e.g. master's, Ph.D.)","Yes, I have a specific goal",Outcome is not satisfied ,YES
22/11/2024 14:23:15,,Male,Unmarried,ME,3.76- higher (Best),3.76- higher (Best),Regularly (More than 75%),More than 15 hours,Always,"Yes, always",Partially conducive (sometimes noisy),Occasionally (once a month),Never,Very supportive,Always,Living with roommates,"Yes, partial scholarship/financial aid","Yes, part-time","Yes, partially",No,Rarely,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Highly motivated,Rarely,5–6 hours,Occasionally (1–2 times a week),More than 4 hours,No,Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, I have a specific goal",Time management and stress levels and performance pressure.,Yes.I got injured during 1st semester.But no family and financial factors.
22/11/2024 15:33:01,,Female,Unmarried,Bangla literature ,3.26-3.5 (Good),3-3.25 (Average),Regularly (More than 75%),10–15 hours,Most of the time,"Yes, but with difficulty",Partially conducive (sometimes noisy),Regularly (weekly),Frequently,Somewhat supportive,Sometimes,Living with parents/guardians,No,"No, I am not working","No, my family supports me","Yes, occasionally",Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Sometimes,Somewhat comfortable,Highly motivated,Rarely,5–6 hours,Daily,2–4 hours,"Yes, both physical and mental health conditions",Regularly (once a week),Improving my GPA,"Yes, I have a specific goal",,No
22/11/2024 17:40:26,,Male,Unmarried,CSE,Below 3 (Below Average),3-3.25 (Average),Occasionally (50–75%),Less than 5 hours,Never,"Yes, always",Partially conducive (sometimes noisy),Never,Never,Very supportive,Always,Living alone,No,"Yes, part-time","Yes, fully","Yes, regularly",Frequently,Good (regular communication),Only mental support,"Yes, reliable access",Frequently,Very comfortable,Not motivated,Never,Less than 5 hours,Never,More than 4 hours,No,Frequently (more than once a week),Passing the course,"Yes, but it's unclear",Keeping my attention continuously.,Yes. Financial problems.
22/11/2024 17:42:23,,Male,Unmarried,CSE,3-3.25 (Average),3-3.25 (Average),Rarely (Less than 50%),Less than 5 hours,Sometimes,"Yes, but with difficulty","Fully conducive (quiet, with necessary resources)",Never,Rarely,Somewhat supportive,Always,Living alone,"Yes, partial scholarship/financial aid","Yes, part-time","Yes, partially","Yes, occasionally",Never,Good (regular communication),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Sometimes motivated,Never,5–6 hours,Occasionally (1–2 times a week),More than 4 hours,"Yes, a mental health condition",Occasionally (once a month),Passing the course,"Yes, I have a specific goal",Finding study group and learn the topic clearly,
23/11/2024 17:47:43,,Male,Unmarried,"Animal Husbandry, BAU",3.76- higher (Best),3.76- higher (Best),Regularly (More than 75%),Less than 5 hours,Always,"Yes, but with difficulty","Fully conducive (quiet, with necessary resources)",Frequently (multiple times a week),Occasionally,Somewhat supportive,Sometimes,Living with parents/guardians,No,"Yes, part-time","Yes, partially",No,Never,Good (regular communication),Both financial and mental support,"Yes, reliable access",Frequently,Somewhat comfortable,Highly motivated,Rarely,5–6 hours,Occasionally (1–2 times a week),More than 4 hours,No,Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, I have a specific goal","Long time class, time management ",
23/11/2024 18:12:37,,Male,Unmarried,DCE,3.26-3.5 (Good),3.26-3.5 (Good),Regularly (More than 75%),5–10 hours,Most of the time,"Yes, but with difficulty",Partially conducive (sometimes noisy),Never,Never,Somewhat supportive,Never,Living in university accommodation (dorms),,"No, I am not working","No, my family supports me",No,Rarely,Good (regular communication),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Mostly motivated,Rarely,7–8 hours,Occasionally (1–2 times a week),More than 4 hours,,,"Pursuing further education (e.g. master's, Ph.D.)","Yes, I have a specific goal",,
23/11/2024 18:56:19,,Male,Unmarried,Electrical and Computer Engineering ,3.26-3.5 (Good),3.26-3.5 (Good),Regularly (More than 75%),10–15 hours,Most of the time,"Yes, always","Fully conducive (quiet, with necessary resources)",Occasionally (once a month),Occasionally,Very supportive,Often,Living with roommates,No,"No, I am not working","No, my family supports me",No,Occasionally,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Mostly motivated,Sometimes,7–8 hours,Occasionally (1–2 times a week),2–4 hours,No,Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",,
23/11/2024 21:07:33,,Female,Unmarried,BBA,3.51-3.75 (Better),3-3.25 (Average),Regularly (More than 75%),Less than 5 hours,Always,"Yes, always","Fully conducive (quiet, with necessary resources)",Occasionally (once a month),Frequently,Very supportive,Always,Living with roommates,No,"Yes, part-time","Yes, partially","Yes, occasionally",Frequently,Good (regular communication),Both financial and mental support,"Yes, reliable access",Frequently,Very comfortable,Sometimes motivated,Never,7–8 hours,Occasionally (1–2 times a week),More than 4 hours,"Yes, a mental health condition",Occasionally (once a month),Achieving the highest grade,"Yes, I have a specific goal",,Yess
24/11/2024 17:28:33,,Male,Unmarried,CSE,3.51-3.75 (Better),3.26-3.5 (Good),Regularly (More than 75%),5–10 hours,Never,"Yes, always","Fully conducive (quiet, with necessary resources)",Never,Never,Very supportive,Never,Living alone,No,"Yes, part-time","Yes, fully",No,Rarely,"Fair (some communication, but distant)",Only mental support,"Yes, reliable access",Frequently,Very comfortable,Mostly motivated,Sometimes,7–8 hours,Daily,1–2 hours,No,Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, but it's unclear",,No
25/11/2024 01:16:31,,Female,Unmarried,Animal Husbandry (Faculty) ,3.51-3.75 (Better),3.51-3.75 (Better),Regularly (More than 75%),Less than 5 hours,Most of the time,"Yes, always",,Occasionally (once a month),Occasionally,Very supportive,Sometimes,Living with roommates,No,"No, I am not working","No, my family supports me",No,Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, reliable access",Frequently,Somewhat comfortable,,Rarely,5–6 hours,Never,1–2 hours,No,Occasionally (once a month),,"Yes, but it's unclear",,
26/11/2024 21:37:29,,Male,Unmarried,Cse,3-3.25 (Average),3-3.25 (Average),Occasionally (50–75%),Less than 5 hours,Most of the time,"Yes, but with difficulty",Partially conducive (sometimes noisy),Never,Never,Very supportive,Sometimes,Living with roommates,No,"No, I am not working","Yes, partially",No,Never,Excellent (close and supportive relationship),Both financial and mental support,"Yes, but it is unreliable",Frequently,Somewhat comfortable,Sometimes motivated,Sometimes,Less than 5 hours,Daily,2–4 hours,"Yes, both physical and mental health conditions",Never,Improving my GPA,"Yes, but it's unclear",Never faced any.,Yes. Each of the aspect effect your mental health or reduces the capability of your output.
27/11/2024 17:58:00,,Female,Unmarried,EEE,3.76- higher (Best),3.51-3.75 (Better),Regularly (More than 75%),Less than 5 hours,Most of the time,"Yes, but with difficulty",Partially conducive (sometimes noisy),Occasionally (once a month),Never,Somewhat supportive,Sometimes,Living in university accommodation (dorms),"Yes, partial scholarship/financial aid","Yes, part-time","Yes, fully","Yes, regularly",Never,Excellent (close and supportive relationship),Only mental support,"Yes, but it is unreliable",Frequently,Very comfortable,Highly motivated,Often,More than 8 hours,Occasionally (1–2 times a week),1–2 hours,No,Occasionally (once a month),"Pursuing further education (e.g. master's, Ph.D.)","Yes, I have a specific goal",Lacking of motivated and friendly teacher ,Yes. I think healthy relationship with family is the biggest secrete of people success. 
